x;y;z;e;
271;199;64;43;
282;165;61;33;
223;197;78;30;
280;150;97;32;
183;176;71;38;
235;181;74;30;
291;188;62;47;
276;183;52;39;
231;191;85;47;
204;167;78;31;
194;155;58;37;
257;176;75;42;
233;195;86;32;
259;182;51;31;
178;175;62;47;
285;158;57;43;
198;180;87;38;
168;191;78;35;
172;192;64;39;
265;148;84;36;
268;153;68;30;
156;188;54;50;
293;160;89;44;
181;199;74;43;
218;165;68;36;
252;194;58;35;
167;180;85;30;
218;192;77;49;
215;150;84;30;
279;173;58;48;
208;182;83;34;
264;153;67;46;
248;155;56;42;
280;183;87;40;
258;181;99;35;
168;150;95;43;
269;160;82;47;
194;162;96;46;
196;165;62;34;
282;184;78;48;
176;199;80;41;
248;199;88;39;
254;185;64;42;
267;185;55;35;
187;167;53;41;
243;191;51;36;
195;166;68;46;
257;151;69;39;
288;158;61;42;
294;154;78;30;
182;185;66;30;
153;154;68;38;
231;164;58;33;
153;151;74;44;
207;191;68;45;
238;185;53;49;
185;169;73;50;
183;150;74;42;
220;168;80;50;
250;166;62;46;
279;171;86;36;
298;197;90;32;
257;149;90;47;
296;184;86;46;
213;195;74;44;
260;154;67;39;
171;154;55;39;
279;159;88;36;
222;171;74;35;
226;170;86;33;
282;192;61;39;
257;152;70;43;
241;159;61;44;
151;179;94;48;
192;157;73;39;
154;161;74;30;
276;166;52;49;
181;197;62;41;
211;195;75;48;
175;167;84;45;
290;180;80;45;
226;182;54;30;
168;186;56;38;
182;196;54;43;
192;190;67;46;
247;158;51;42;
290;152;72;34;
254;194;99;50;
211;191;65;38;
240;189;70;40;
218;164;86;42;
250;167;91;47;
180;148;80;31;
196;149;85;45;
220;153;92;42;
242;177;87;32;
198;177;67;50;
215;169;72;40;
278;153;87;48;
153;169;75;39;
214;179;77;49;
253;150;63;34;
174;199;84;49;
182;148;57;37;
252;184;66;47;
193;198;80;48;
209;200;54;34;
155;154;83;34;
287;181;84;38;
209;172;55;40;
263;199;99;48;
173;161;74;41;
296;190;89;36;
261;173;81;33;
151;178;91;49;
150;165;64;49;
258;150;69;46;
293;187;67;43;
296;171;81;30;
288;165;93;46;
249;154;68;37;
240;188;72;37;
166;199;74;47;
223;166;99;48;
271;149;76;49;
180;161;87;32;
236;167;95;39;
292;196;59;36;
171;181;53;31;
153;180;96;44;
235;190;56;43;
214;186;56;31;
167;168;90;38;
235;155;92;38;
241;156;71;39;
226;166;88;37;
212;153;63;50;
244;183;53;43;
179;157;90;30;
200;162;90;49;
213;165;95;33;
233;173;63;47;
296;165;95;37;
208;164;59;31;
154;185;70;30;
253;173;53;43;
